week,totalNumberSwineAccessions,CO,IA,IL,IN,KS,KY,MI,MN,MO,NC,NY,OH,OK,PA,SD,TN,TX,WI,Unk,CA,MD,NE,WY
4/15/2013,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,
4/22/2013,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
4/29/2013,9,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,
5/6/2013,17,1,8,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,
5/13/2013,10,1,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,
5/20/2013,44,5,25,0,2,0,0,0,7,1,0,0,2,1,0,0,0,0,0,0,,,,
5/27/2013,32,0,22,1,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,,,,
6/3/2013,55,0,21,0,2,3,0,2,2,0,0,0,0,17,2,0,0,0,0,3,,,,
6/10/2013,48,0,17,0,1,3,0,0,2,0,0,0,0,20,1,0,0,0,0,3,,,,
6/16/2013,47,1,10,0,1,7,0,0,8,0,0,1,3,16,0,0,0,0,0,0,0,0,0,0
6/23/2013,37,1,15,0,1,1,0,0,4,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0
6/30/2013,10,0,3,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0
7/7/2013,34,1,6,1,2,4,0,0,2,0,3,0,2,11,0,0,0,0,0,2,0,0,0,0
7/14/2013,33,2,7,0,4,7,0,1,3,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0
7/21/2013,24,1,6,0,1,3,0,0,0,0,7,0,0,4,0,0,1,1,0,0,0,0,0,0
7/28/2013,31,1,5,1,1,7,0,0,3,0,2,0,1,10,0,0,0,0,0,0,0,0,0,0
8/4/2013,27,1,9,1,1,6,0,0,1,0,2,0,0,5,0,0,0,0,1,0,0,0,0,0
8/11/2013,36,6,4,0,0,13,0,0,0,0,5,0,0,7,0,0,0,0,0,1,0,0,0,0
8/18/2013,30,1,6,0,1,5,0,0,0,0,1,0,2,14,0,0,0,0,0,0,0,0,0,0
8/25/2013,26,0,2,0,1,3,0,0,2,0,4,0,1,10,3,0,0,0,0,0,0,0,0,0
9/1/2013,31,2,6,0,1,8,0,0,1,0,4,0,0,4,5,0,0,0,0,0,0,0,0,0
9/8/2013,28,0,0,0,0,7,0,0,0,0,6,0,1,13,0,0,1,0,0,0,0,0,0,0
9/15/2013,32,0,7,0,1,3,0,0,2,0,12,1,0,5,1,0,0,0,0,0,0,0,0,0
9/22/2013,40,1,3,0,1,5,0,0,1,0,24,0,0,4,0,0,0,0,0,1,0,0,0,0
9/29/2013,42,2,6,0,0,2,0,0,2,0,19,0,0,6,1,0,0,3,0,1,0,0,0,0
10/6/2013,43,1,6,0,0,6,1,0,1,0,21,0,0,6,1,0,0,0,0,0,0,0,0,0
10/13/2013,56,0,10,0,0,4,1,0,5,0,21,0,0,13,2,0,0,0,0,0,0,0,0,0
10/20/2013,68,1,20,2,1,9,1,0,2,0,22,0,0,9,1,0,0,0,0,0,0,0,0,0
10/27/2013,85,0,33,4,1,3,0,0,5,0,17,0,1,13,2,0,1,3,1,0,0,1,0,0
11/3/2013,90,0,38,1,1,6,0,2,7,2,14,0,5,10,1,0,1,1,1,0,0,0,0,0
11/10/2013,92,1,51,0,0,1,0,2,8,1,15,0,4,5,1,0,0,3,0,0,0,0,0,0
11/17/2013,116,1,48,5,3,5,0,0,17,0,14,0,4,11,1,0,1,6,0,0,0,0,0,0
11/24/2013,96,1,25,0,4,1,1,0,19,0,19,0,9,12,0,1,0,3,1,0,0,0,0,0
12/1/2013,141,2,66,10,10,4,0,0,23,0,8,0,5,6,3,0,0,2,0,1,0,0,1,0
12/8/2013,132,0,65,8,6,5,0,2,18,3,12,0,3,7,1,0,0,1,0,1,0,0,0,0
12/15/2013,187,1,96,15,9,3,0,0,27,5,20,0,3,5,1,0,0,0,0,1,0,0,1,0
12/22/2013,118,0,61,8,3,5,0,2,17,2,5,0,5,3,0,0,0,2,0,4,0,0,1,0
12/29/2013,134,0,54,14,3,4,0,0,20,4,18,0,5,2,0,3,1,1,0,1,1,0,2,1
