"AL","AK","AZ","AR","CA","CO","CT","DE","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
1609164,0,0,247,5,0,0,0,413,22672,0,0,1200,980,244823,0,7270.22498803255,0,0,0,0,1905,1025,13700,8,0,585,0,0,0,0,0,10000,0,851,0,0,0,0,0,940,17645,0,0,0,0,0,0,0,0
0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,972,0,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,0,0
291,0,67,1093374,6,0,0,0,11,16,0,0,13233,2430,241204,452,0,19,0,0,0,323,36907,1,589534,0,950,0,0,0,0,0,10272,0,17,5596,0,0,0,0,1900,1275,35,0,0,0,0,0,0,0
0,0,0,0,540261,0,0,0,0,0,0,0,9415,0,4843,0,0,0,0,0,0,0,1413,0,1,0,0,9,0,0,0,0,35,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,20,347373,0,0,0,0,0,0,64790,28600,316678,248742,0,0,0,0,0,0,203033,100,41934,0,0,0,0,0,0,0,1267,0,0,0,1,0,0,0,208887,0,0,0,0,0,0,1,0,234
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,59922,0,0,0,0,0,0,0,0,0,0,0,1284,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,42660,5124,0,0,39,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,27,0,2359,2965,0,0,8,0,0,0,0
147332,0,1,0,0,0,0,0,2152,427563,0,0,2805,5500,98494,0,16252.991862135,0,0,0,0,1,2458,3201,2400,0,1200,0,0,0,0,0,23722,0,3313,1387,0,7120,0,69,0,8235,450,0,0,450,0,0,762,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,51,0,0,0,0,0,0,17658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,28,62,496,120,0,0,234,86,0,0,14211801,113245,1424813,4278,16963.8583054093,500,0,0,3,22640,117647,37,98050,0,8725,2,0,0,35,9,35793,0,96974,2109,33,93,1,14,3295,7927,957,0,0,90,0,0,16207,0
46,0,0,12,8,0,0,0,4,877,0,0,101857,9177993,225425,69,2584.9688846338,0,0,8,0,0,1347,55,306,0,0,2,0,0,0,0,14629,0,0,0,18,0,0,0,12330,0,0,0,0,0,0,12,0,0
170,0,0,999,14237,0,0,0,69,431,0,0,190481,1435,102509208,9821,9693.63331737674,0,0,37,0,0,860950,39,13890,0,34405.29,0,0,0,0,0,15448,0,10114.23,1218.78,104,98,0,0,11698,0,10114.23,0,0,0,0,0,1218.78,27
12,0,0,691,71,18144,0,0,0,75,0,0,13947,14847,157764,4273155,258.49688846338,4,0,4,0,354,22554,521,144338,0,59895,0,0,0,25,0,3786,0,177,7676,0,0,0,0,359,66,2316,17,0,0,0,19,21,24
130,0,0,18253,0,0,0,0,0,899,0,0,16205,45788,17658,1999,1103910.96218286,0,0,6,0,0,2816,48,2406,0,0,0,0,0,0,0,590,0,0,0,0,0,0,0,1071,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,33,0,0,0,0,0,0,0,0,4761,0,208,0,0,0,0,0,0,0,0,0,0,0,0,2382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,45,0,0,0,0,233,0,0,36,0,0,0,0,0,2475,0,986,0,27,0,44,0,0,0,57,13,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,31,0,0,53,0,0,0,0,1,0,0,0,0,0,0,49212,0,0,2,0,12,12,0,0,0,0,0,17,9,0,2,0,0,2253,3,0,0,0,0,0,0,341,0,22,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11583,0,0,0,0,0,0,0,76,0,0,46,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,6745,81932,9232,6,35511.0100526568,0,0,0,0,514863,7759,0,178,0,0,0,0,0,0,0,13220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,0,0,1,0,14917,0,0,0,550,0,2,1101,1380,1656184,5243,613.930110100527,0,0,0,0,976,25622226,0,6157,443,46374,0,0,0,0,22,1248,1132,3866,18,2,2571,0,0,134537,173,45,0,0,0,1,14,30893,0
0,0,0,0,350,0,0,0,0,1,0,0,461,0,0,0,0,0,0,1,1,0,0,820854,0,0,11,0,0,0,0,1,2920,0,0,0,0,0,0,0,0,129,8,0,0,0,0,0,0,0
2,0,12,48494,645,2134,0,0,0,177,0,0,223313,45820,2389932,21894,0,5,0,290,1,22921,117548,139,14262435,0,18003,3113,0,1,8,10,6087,0,1361,5069,13,215,0,0,22608,9223,319,0,0,0,2,0,127,0
0,0,0,0,815,0,0,0,0,0,0,0,0,0,9900,0,0,0,0,0,0,0,4105,0,0,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4837,0,0,0,0,0,0,0,0,47
0,0,0,185,8496,0,0,0,0,0,0,0,34093,25375,1152749,85792,11761.6084250838,0,0,1015,1,0,725790,35,14074,0,2675603.61,0,0,0,0,0,2075,0,0,0,2,0,0,0,141312,0,0,0,0,0,0,0,0,17
0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,15,0,0,6,0,0,0,0,0,275,60,141,0,1,0,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,200,4,0,0,0,0,0,0,0,0,87,0,1008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27275,0,0,0,0,0,0,6600,87,13301,0,0,776744,408824,1216195,4003,3231.21110579225,0,0,0,0,7207,55866,73220,231883,0,20900,0,0,0,0,0,2523726,0,130164,2015,0,54309,0,176474,15800,29879,3,0,0,136736,0,0,2425,0
0,0,0,0,190,0,0,0,1,0,0,0,8030,0,15397,0,969.363331737674,0,0,0,0,0,126132,0,0,0,0,0,0,0,0,0,0,12537,0,0,0,0,0,0,1839,0,0,0,0,0,0,0,0,10
7,0,0,21,108,0,0,0,0,10,0,0,2601,193579,25456,157,549.305887984682,0,0,27,8,0,2738,75,71,0,0,1,0,17,0,0,8768,0,2232164.07,0,0,0,0,0,1,0,0,0,0,0,0,26,0,0
1082,0,0,52520,16762,0,0,0,0,2656,0,0,47536,28475,1477925,82357,0,0,0,0,0,0,129194,35,397676,0,0,0,0,0,0,0,392,0,0,236869.02,9,0,0,0,22141,0,0,0,0,0,0,1,0,38
0,0,0,0,195,0,0,0,0,0,0,0,3,0,4,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,20,0,0,0,5814,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29,0,0,0,0,0,0,0,1283,15810,1016,0,0,0,0,2120,24,0,117,0,34,0,0,0,0,661,0,0,0,0,0,0,0,699786,0,0,0,0,0,0,0,0,0,16,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,17,106,0,0,60,1100,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,90834,0,0,0,0,0,0,1589814,0,0,0,0,0,0,0,0,0,0
2355,0,0,0,404,229,0,0,0,0,0,1590,2735,0,363885,4989,0,0,0,0,0,0,306309,0,1,1172,98676,0,0,0,0,0,0,261,0,309,3,2733,0,0,6912162,0,25,0,0,0,0,0,0,101
0,0,0,0,805,0,0,0,1699,2,0,0,34149,837,47036,0,3231.21110579225,0,0,0,0,0,5917,0,601,0,0,0,0,0,0,0,1320,0,0,0,0,0,0,0,0,692262,0,0,0,0,0,0,0,0
0,0,0,0,183,0,0,0,0,205,0,0,317,0,82434,2872,0,0,0,0,7,0,5400,0,36867,0,0,0,0,8,0,0,25,0,0,0,1,0,0,0,175095,0,155666.07,0,0,0,0,0,0,2
0,0,0,0,4883,0,0,0,0,0,0,0,2650,0,16005,960,0,0,0,0,0,0,3,0,2468,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,252,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
0,0,0,0,0,0,0,0,0,36,0,0,1930,3320,0,0,0,0,0,25,0,0,2,0,0,0,0,0,0,0,0,0,34723,0,0,0,0,0,0,0,0,0,0,0,0,1239210,0,3,0,0
0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,27,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,1053,0,0
0,0,0,0,57,2379,0,5,20,31,0,0,18927,500,110098,1141,13764.959310675,0,0,11,0,880,33922,0,1528,0,1081,2,0,0,38,0,830,0,859,671,1,480,0,62,1008,7,59,0,0,61,0,0,464884.02,62
0,0,0,0,11001,674,0,0,0,0,0,370,2396,0,84761,20,0,0,0,105,0,0,67822,0,254,23,6484,0,0,0,10,7,0,0,320,250,0,7810,0,0,7501,0,0,11,0,0,0,0,0,5121
